"fid";"count"
30301275;217
30306364;6
30306435;259
30312159;156
30313452;598
30409790;10
30411618;7
30414087;11
30501174;2
30502382;88
30502545;7
30504834;6
30505469;126
30507954;76
30510809;79
30511600;108
30603192;5
30609628;427
30701334;2
30704048;327
30800420;222
30800681;7
30801564;16
30801612;441
30805215;67
30813986;17
30815238;17
30816745;134
30819333;5
30822982;130
30823144;1
30823514;166
30825283;97
30826407;79
31000074;257
31003014;26
31003280;443
31100207;69
31100581;31
31102442;14
31104917;9
31108782;11
31112601;128
31114574;44
31206056;34
31207319;76
31208052;68
31212356;7
31212586;1
31400420;78
31405234;6
31405473;25
31501435;95
31706515;434
31706704;8
31800300;2
31804692;181
31805018;6
32000124;129
32003336;82
32104045;1
32104733;105
32200011;15
32202912;16
32203623;177
32204826;82
32400819;5
32403087;2
32403924;3
32500340;152
32503480;63
32606455;116
32800481;10
32800745;4
32801596;235
32805099;30
32807308;184
32814207;1
32819146;2
32819863;53
32901008;63
33003031;1
33011213;203
33014467;134
33014696;77
33015146;4
33201751;29
33202388;27
33202676;111
33205566;148
33205917;48
33206291;109
33310529;2
33310974;3
33311597;66
33401876;9
33403532;169
33408243;74
33612467;8
33612996;11
33700202;11
33700284;53
33703226;2
33704946;37
33709211;13
33810122;22
34000127;130
34000661;127
34000889;254
34317643;134
34400065;11
34404978;12
34406163;3
34409696;41
34410000;146
34415538;121
34416616;4
34416690;107
34503237;16
34505643;17
34700447;121
34702475;375
34703207;2
34703420;3
34804503;216
34804549;161
34805094;3
34805795;4
34900816;213
34900856;23
35000215;11
35001523;4
35107741;126
35108797;6
35204694;1
35204760;84
35303703;43
35303799;57
35401961;4
35404700;7
35405191;25
35500581;385
35700383;6
35700497;4
35701244;3
35702171;59
35800797;82
35802537;17
35803857;61
35804774;123
35804827;21
35900038;106
35901077;36
35909101;268
36004526;6
36101161;133
36300218;164
36300645;1
36301888;51
36405075;66
36405265;80
36405595;5
36406101;6
36406417;213
36409720;101
36411133;18
36501371;3
36502933;4
36504870;19
36601712;35
36608736;5
36615408;11
36619582;98
36701547;85
36806970;94
36817385;25
36903578;5
36919489;6
36919681;6
37109475;72
37301567;85
37302249;58
37400091;7
37400563;164
37502634;346
37503881;41
37507339;24
37508318;138
37509542;194
37513615;1
37513853;83
37518139;37
37521286;24
37521784;2
37522927;7
37523544;401
37523994;9
37524864;31
37525551;29
37527016;129
37600155;2
37603504;104
37603683;286
37604024;39
37607184;170
37607859;5
37607932;48
37616581;14
37618279;2
37704867;176
37705730;8
37707226;36
37711070;4
37711280;5
37800617;10
38004699;10
38008025;8
38105613;5
38205463;119
38211600;38
38301901;4
38311408;12
38401470;17
38402972;44
38409924;1
38503765;33
38505159;42
38512117;2
38701461;108
38703009;26
38707356;230
38710851;149
38712595;302
38712856;1
38713364;53
38713630;2
38902501;106
38907474;1
38912501;100
38912848;70
38916144;411
39001711;17
39002408;47
39002813;114
39003566;1
39005217;54
39101207;398
39109981;115
39111558;22
39112044;98
39207950;179
39401147;137
39401950;63
39509545;46
39606856;11
39609355;23
39609952;132
39700646;125
39703881;4
39707021;170
39707846;81
39902524;109
40004498;88
40006065;45
40010947;5
40100199;7
40106964;10
40300809;126
40304646;37
40309263;35
40501541;1
40503058;104
40503653;120
40509455;3
40606101;53
40700093;7
40706139;545
41107513;33
41117748;37
41202202;16
41202287;51
41301316;30
41402047;309
41501326;38
41504215;5
41505093;19
41505218;6
41507850;62
41602159;10
41703386;4
41703760;215
41901672;81
41902204;134
42107172;122
42112555;6
42113183;5
42113543;2
42113782;26
42202128;15
42202833;210
42209714;1
42400894;8
42403693;8
42404994;7
42405458;8
42409488;3
42414169;54
42418047;30
42418756;328
42420807;244
42502923;41
42603914;1
42704073;4
43000125;62
43001415;1
43002169;31
43003609;27
43005123;23
43100621;44
43102085;4
43200864;42
43301939;88
43406326;1074
43606134;6
43809221;111
43900269;3
43907053;2
43907137;321
43907543;712
44100694;509
44101636;140
44201707;74
44203504;60
44205132;10
44206418;65
44402176;5
44407675;3
44408799;4
44503223;59
44603071;40
44605542;24
44801433;5
44801546;2
44802758;2
45001684;5
45003362;33
45003586;111
45006991;229
45011297;940
45100282;168
45103567;1
45207570;2
45506453;14
45600944;4
45609105;7
45701179;152
45807920;54
45809426;73
45900563;71
46001473;254
46002198;172
46002304;114
46201506;10
46204866;46
46211746;4
46300249;4
46300773;5
46301883;9
46302334;10
46400084;5
46401554;12
46401974;80
46501286;25
46603966;162
46604362;131
46702058;157
46704869;1
46705334;11
46709499;1
46710686;3
47103297;41
47201497;27
47202776;65
47205614;24
47209089;1
47400377;24
47401350;1
47402146;1
47500607;39
47505144;38
47600389;8
47601309;22
47700808;272
47701041;2
47701563;6
47702313;184
47702577;45
47909509;340
47911042;143
48100439;6
48100588;121
48501778;32
48507477;5
48601952;1098
48602230;997
48604015;144
48604046;168
48604186;158
48604381;11
48608213;6
48608707;5
48610941;191
48701977;4
48702080;6
48702109;18
48920012;20
49003560;21
49407168;4
49409627;6
49700618;8
49800837;17
49900557;101
49903635;8
50200365;16
50200906;3
50205769;1
50206228;17
50312702;127
50500107;2
50503404;17
50505840;112
50506078;2
50603558;531
50604741;1
50611037;5
50702422;20
50702963;2
50902416;132
51002620;12
51003281;21
51004693;7
51301302;8
51302380;3
51304051;7
51304708;4
51401511;181
51501156;14
51602668;55
51700081;1322
51902474;3
51903753;8
51904131;5
52100196;5
52400943;2
52602779;65
52902626;59
53200942;61
53205082;120
53206066;99
53600506;7
53702634;63
53800391;302
54100688;122
54302752;21
54400370;3
54600268;4
54702597;3
54704577;65
54706277;6
54707344;189
54707799;5
54708093;86
54900767;49
54901426;49
55000728;223
55008358;8
55009326;167
55402430;90
55500715;6
55502951;20
55504525;6
55505751;52
55506293;207
55506501;166
55507312;7
55712871;7
55804483;291
55904059;98
55904660;20
56000439;12
56002709;7
56006651;60
56015324;1
56300775;4
56301666;176
56301912;40
56501921;28
56502983;1
56802337;34
57005916;10
57100120;4
57102594;48
57106056;314
57201172;129
57203444;22
57204972;160
57207295;463
57207883;2
57209096;133
57209769;15
57212618;38
57400144;70
57402689;4
57501814;58
57602093;52
57604081;1
57604666;26
57803406;17
57803897;230
57900232;4
57902073;413
57902649;80
57903161;74
58003056;53
58209544;52
58215774;3
58215812;4
58219291;14
58301644;77
58302528;70
58304302;1
59101120;87
59507085;34
59512716;10
60001930;2
60200174;54
60400033;3
60401469;162
60402304;74
60503230;11
60602754;17
60603386;2339
60606022;41
60607067;978
60703723;57
60703792;167
60707496;113
60709881;52
60712022;3
60712157;1
60712460;127
60713223;6
60713388;274
60800462;2
60800968;88
60801764;35
60901601;61
61208764;1
61305885;78
61413884;3
61601811;5
62101872;77
62204878;44
62301807;1
62400195;13
62601476;19
63000091;14
63003308;198
63100030;76
63200649;1
63303489;3
63901105;55
64000456;232
64203193;276
64301016;54
64402869;123
64601991;15
64602402;48
64700616;196
64702942;1
64800327;18
64800350;14
65005919;17
65300106;6
65300210;55
65702197;78
65702508;1
66300236;270
66803415;44
66805016;98
67000319;144
67601579;2
67700942;52
67900612;46
68103010;5
68104291;168
68104374;84
68106039;7
68112607;85
68113770;6
68124177;57
68127996;17
68133391;46
68138334;3
68201293;6
68300005;303
68302777;1
68603911;97
68701103;688
68702451;76
68704277;165
69200403;272
69201031;33
69204376;32
69208923;485
69600538;332
69700580;4
69703707;66
69704170;147
70000109;18
70201100;167
70305248;7
70400532;104
70402201;20
70602103;36
70603560;22
70605362;19
70605813;7
70606427;6
70606716;5
70607786;13
70608994;5
70609329;2
70805586;184
70805905;135
