"fid";"count"
1090920191;846
1091045773;289
1091190113;535
1091359345;213
1093033380;264
1093419286;623
1094010348;756
1094166114;118
1094348503;151
1094994357;113
1096490315;294
1097470335;691
1097614585;438
1097686619;840
1097756453;60
1098280345;477
1099740169;260
1100570573;269
1101314600;185
1101624726;54
1101780004;300
1101930032;480
1102171515;148
1102301453;171
1102995372;351
1103455859;201
1103594887;110
1103691243;219
1104279491;325
1104330085;2830
1104409559;145
1105080004;170
1105410190;309
1106916552;198
1106957991;841
1107320281;468
1107756622;207
1107800936;245
1108280358;1154
1108453266;100
1109103933;235
1109330571;267
1109919279;1141
1110156784;482
1110342154;596
1111463793;483
1112146524;300
1113108292;176
1113122765;525
1113405149;199
1114081017;319
1114230700;471
1115457487;1343
1115740030;1959
1115911555;402
1116682641;276
1116805967;645
1116900813;2649
1117050125;706
1117102294;160
1117395298;292
1119080815;592
1119235581;398
1119750295;326
1119805819;863
1119930032;1002
1120371305;333
1120471421;178
1120530841;67
1120959681;643
1122060430;101
1123071122;290
1123656462;1245
1124007625;124
1124190185;242
1124587909;145
1124801879;439
1125446692;253
1126194514;449
1127425608;196
1128207493;242
1128248489;1639
1128675219;960
1128710378;411
1129013178;315
1129926605;253
1130431370;838
1130652041;359
1131512651;153
1132127249;108
1132219604;1191
1133083399;321
1133640023;257
1133933326;1282
1134900032;1292
1135029810;277
1135094578;194
1135890857;606
1136361716;204
1136492131;943
1136542352;1218
1136571320;294
1136734141;262
1136772394;375
1136907349;73
1136922464;220
1137216181;97
1137825966;597
1137870913;55
1137874300;444
1139261762;89
1139280338;472
1140061051;25
1140062882;12
1140270060;2046
1141058022;47
1142131775;318
1142307594;260
1142391380;450
1142407868;284
1142741728;585
1143060081;1031
1144428934;205
1145485806;519
1145920566;1241
1146480052;566
1146721479;429
1146760122;493
1147254253;16
1148100264;302
1148308239;1352
1148695497;1429
1148730098;914
1148880231;741
1148968323;263
1149171980;538
1149286566;227
1149570051;344
1149864216;644
1150563497;859
1150582945;321
1150726411;215
1151430309;429
1151677467;91
1152697372;286
1152698013;276
1152912193;736
1153050334;313
1153127088;578
1154428547;743
1155032841;234
1155631223;112
1155930375;577
1156116867;1183
1157190510;540
1157790136;408
1157989921;232
1158865952;141
1159522772;108
1159758632;341
1159766435;255
1160652643;215
1161396241;224
1161704577;370
1161961348;495
1162075683;867
1162423967;604
1163044215;718
1163082148;488
1163358964;346
1163820559;640
1164043625;4
1166340307;117
1167008969;174
1167731504;608
1168556174;108
1169633197;778
1171234201;814
1171389669;343
1171805922;153
1172642816;196
1172987918;383
1173032597;525
1173264487;138
1173336991;73
1174455219;228
1174494251;251
1175365997;285
1175386069;677
1175430211;677
1175723413;1377
1175966092;736
1176161043;556
1176420332;112
1177479071;147
1177720486;219
1178029508;685
1178277052;372
1178423291;804
1179523338;774
1179559211;491
1180226328;624
1180886424;106
1180953178;914
1181130026;1219
1181618934;224
1182527125;1839
1182671028;223
1183095532;347
1184373954;741
1184446726;554
1184640165;4
1184873824;54
1184932740;553
1185077748;1616
1185861744;174
1185948035;562
1186774042;138
1186847217;310
1187187887;130
1187569452;630
1187942769;359
1188214478;692
1188233690;164
